Station ID,Station Name,Go live date,Status
3000,Virtual Station, 2016-07-07 , Active  
3005, Flower & 7th               , 2016-07-07 , Active  
3006, Olive & 8th                , 2016-07-07 , Active  
3007, 5th & Grand                , 2016-07-07 , Active  
3008, Figueroa & 9th             , 2016-07-07 , Active  
3010, 11th & Maple               , 2016-07-10 , Active  
3011, Figueroa & Pico            , 2016-07-12 , Active  
3014, Union Station West Portal  , 2016-07-07 , Active  
3016, Los Angeles & Temple       , 2016-07-07 , Active  
3018, Grand & Olympic            , 2016-07-07 , Active  
3019, 12th & Hill                , 2016-07-07 , Active  
3020, Hill & Washington          , 2016-07-07 , Active  
3021, 3rd & Rose                 , 2016-07-07 , Inactive 
3022, 3rd & Santa Fe             , 2016-07-07 , Active  
3023, 1st & Judge John Aiso      , 2016-07-07 , Active  
3024, Hope & 1st                 , 2016-07-13 , Active  
3025, Grand & Washington         , 2016-07-07 , Active  
3026, Figueroa & Cesar Chavez    , 2016-07-07 , Active  
3027, Spring & 3rd               , 2016-07-07 , Active  
3028, Grand & Temple             , 2016-07-07 , Active  
3029, Main & 4th                 , 2016-07-07 , Active  
3030, Main & 1st                 , 2016-07-07 , Active  
3031, 7th & Spring               , 2016-07-07 , Active  
3032, Hope & 6th                 , 2016-07-07 , Active  
3033, Main & 9th                 , 2016-07-07 , Active  
3034, Hope & 11th                , 2016-07-07 , Active  
3035, Figueroa & 8th             , 2016-07-07 , Active  
3036, Willow St & Mateo St       , 2016-07-07 , Active  
3037, Imperial & 7th             , 2016-07-07 , Active  
3038, Main & 5th                 , 2016-07-07 , Active  
3040, Wilshire & Witmer          , 2016-07-07 , Active  
3042, 1st & Central              , 2016-07-07 , Active  
3045, 18th & San Pedro           , 2016-07-07 , Active  
3046, 2nd & Hill                 , 2016-07-12 , Active  
3047, Pico & Flower              , 2016-07-07 , Active  
3048, 5th & Hewitt               , 2016-07-13 , Active  
3049, 2nd & Figueroa             , 2016-07-07 , Active  
3051, 7th & Broadway             , 2016-07-07 , Active  
3052, 7th & Bixel                , 2016-07-07 , Active  
3053, 12th & Grand               , 2016-07-07 , Inactive 
3054, Factory Place & Alameda    , 2016-07-07 , Active  
3055, 7th & Main                 , 2016-07-07 , Active  
3056, Grand & 14th               , 2016-07-07 , Active  
3057, 18th & Figueroa            , 2016-07-07 , Active  
3058, Industrial St & Mateo St   , 2016-07-07 , Active  
3059, 11th & Santee              , 2016-07-07 , Active  
3060, Pico & Maple               , 2016-07-07 , Active  
3062, 3rd & San Pedro            , 2016-07-07 , Active  
3063, Olive & 5th                , 2016-07-07 , Active  
3064, Grand & 7th                , 2016-07-11 , Active  
3065, New High & Ord             , 2016-07-07 , Active  
3066, Spring & College           , 2016-07-07 , Active  
3067, Main & 6th                 , 2016-07-07 , Active  
3068, Grand & 3rd                , 2016-07-07 , Active  
3069, Broadway & 3rd             , 2016-07-07 , Active  
3074, Hope & Olympic             , 2016-07-07 , Active  
3075, Broadway & 9th             , 2016-07-07 , Active  
3076, 9th & Los Angeles          , 2016-07-07 , Active  
3077, 8th & Wall                 , 2016-07-07 , Active  
3078, Hill & College             , 2016-07-07 , Active  
3079, Temple & Vignes            , 2016-07-07 , Active  
3080, San Julian & 12th          , 2016-07-07 , Active  
3081, Stanford & 12th            , 2016-07-13 , Active  
3082, Traction & Rose            , 2016-08-29 , Active  
4108, 1 LA warehouse             , 2016-07-07 , Inactive 
